1_Lr,1_Wd,1_batchSize,1_decoder,1_featType,1_hiddenDim,1_numLayers,1_numOfHeads,2_valLossNeg,2_valMRRRandom,2_valRocAucRandom,3_testMRR2hop,3_testMRRRandom,3_testRocAuc2hop,3_testRocAucRandom
0.001,0.0005,8192,dot,3,128,2,2,-0.4044054448604584,0.9773854789063915,0.8935817574396704,0.8769228013386272,0.9907063197026023,0.6314355925590586,0.9018164641153859
0.001,0.0005,8192,dot,3,64,3,2,-0.3924238383769989,0.9799709987311944,0.8950940865354653,0.8839996965328881,0.989573375818729,0.6260018742757629,0.8953427858450435
0.001,0.0005,8192,dot,3,128,3,2,-0.39034348726272583,0.9773383893102201,0.8988723074403883,0.8831777740168606,0.9893786510886883,0.6342090215534807,0.8995538181796452
0.001,0.0005,8192,dot,3,64,4,2,-0.4044108986854553,0.980189701897019,0.8907749854026255,0.8947778043635717,0.9941582580987786,0.646940762984332,0.8981925883845652
0.001,0.0005,8192,dot,3,128,4,2,-0.40051835775375366,0.9756285042503164,0.8914776333455274,0.8879348833145966,0.9885694054573503,0.6438754071945418,0.8964073961493929
0.0001,0.001,8192,dot,3,64,2,2,-0.43254024121496415,0.9670884176213895,0.8754003880112791,0.8245733260072082,0.9775552352291598,0.6080027232824662,0.8746410077258021
0.0001,0.001,8192,dot,3,128,2,2,-0.42068412105242414,0.9692452072668875,0.8819141246058939,0.8392028570945194,0.9827926560958955,0.6142304646105904,0.8849855531589753
0.0001,0.001,8192,dot,3,64,3,2,-0.44499916666083866,0.9659900090826522,0.8697179961393608,0.8304762049185841,0.9756107275624004,0.610728539113669,0.8781859923710928
0.0001,0.001,8192,dot,3,128,3,2,-0.42109449207782745,0.9699767764507177,0.8816797269044607,0.8714175804722804,0.9865625184398418,0.6211626098670109,0.8873407677616167
0.0001,0.001,8192,dot,3,64,4,2,-0.4501838982105255,0.9686980859516071,0.8727770655703966,0.8569748965261446,0.9826694990263765,0.6225053530030599,0.8752739490391525
